Age,Sex,Race,Marital status?,Education,Employement,Incomes,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
33,Female,White,Married,College graduate,Not employed for pay,"$75,000 to under $100,000",40,Yes,No,Yes,Borrowed the book from a library,No,Yes
33,Female,White,Married,College graduate,Not employed for pay,Refused,40,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
32,Male,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",40,Yes,Yes,Yes,Borrowed the book from a friend or family member,No,No
29,Male,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",40,Yes,No,No,Got the book some other way,Yes,Yes
23,Male,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",40,Yes,No,Yes,Purchased the book,No,Yes
22,Male,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",40,Yes,No,No,Got the book some other way,Yes,Yes
20,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$10,000 to under $20,000",40,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
19,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",40,Yes,No,No,Purchased the book,Yes,No
16,Female,White,Never been married,High school incomplete,Not employed for pay,"$75,000 to under $100,000",40,Yes,Yes,No,Purchased the book,Yes,No
16,Male,White,Never been married,High school incomplete,Employed part-time,"$40,000 to under $50,000",40,Yes,No,Yes,Purchased the book,No,Yes
22,Male,Mixed race,Living with a partner,High school graduate,Employed part-time,"$40,000 to under $50,000",38,Yes,Yes,Yes,Purchased the book,Yes,Yes
62,Female,White,Married,College graduate,Other,"$50,000 to under $75,000",37,Yes,Yes,Yes,Purchased the book,No,No
20,Female,Black or African-American,Never been married,High school incomplete,Not employed for pay,"$10,000 to under $20,000",36,Yes,No,No,Got the book some other way,No,No
86,Female,White,Married,High school graduate,Retired,"9$100,000 to under $150,000",36,Yes,No,No,Borrowed the book from a library,Yes,Yes
82,Female,White,Married,College graduate,Employed part-time,Refused,36,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
77,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",36,Yes,No,No,Borrowed the book from a library,Yes,Yes
72,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",36,Yes,No,No,Purchased the book,Yes,Yes
70,Male,White,Don’t know,Post-graduate training/professional school after college,Retired,Refused,36,Yes,No,No,Borrowed the book from a library,No,No
64,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",36,Yes,No,No,Borrowed the book from a friend or family member,No,No
57,Female,White,Divorced,College graduate,Employed part-time,Refused,36,Yes,No,No,Purchased the book,Yes,Yes
55,Female,White,Married,"Some college, no 4-year degree",Disabled,"$10,000 to under $20,000",36,Yes,No,Yes,Purchased the book,No,Yes
52,Male,White,Divorced,Post-graduate training/professional school after college,Retired,"$20,000 to under $30,000",36,Yes,No,No,Borrowed the book from a library,Yes,Yes
42,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",36,No,No,Yes,Purchased the book,Yes,No
36,Female,White,Never been married,College graduate,Not employed for pay,"$50,000 to under $75,000",36,Yes,Yes,Yes,Purchased the book,Yes,Yes
36,Female,White,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",36,Yes,Yes,Yes,Got the book some other way,Yes,Yes
30,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",36,Yes,No,No,Purchased the book,No,No
29,Female,White,Never been married,Post-graduate training/professional school after college,Not employed for pay,"$30,000 to under $40,000",36,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,No
17,Female,White,Never been married,High school incomplete,Not employed for pay,"$50,000 to under $75,000",36,Yes,No,No,Purchased the book,Yes,Yes
74,Female,Refused,Widowed,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",35,Yes,Yes,Yes,Purchased the book,Yes,Yes
22,Male,Black or African-American,Never been married,"Some college, no 4-year degree",Employed part-time,"Less than $10,000",35,Yes,No,No,Purchased the book,Yes,Yes
79,Male,White,Widowed,High school graduate,Retired,"$10,000 to under $20,000",35,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
72,Female,White,Widowed,Post-graduate training/professional school after college,Employed part-time,"$75,000 to under $100,000",35,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
71,Female,White,Divorced,Post-graduate training/professional school after college,Employed part-time,"$50,000 to under $75,000",35,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
65,Female,White,Married,High school graduate,Retired,"$20,000 to under $30,000",35,No,No,Yes,Purchased the book,No,No
62,Female,White,Married,College graduate,Retired,"$30,000 to under $40,000",35,Yes,No,No,Purchased the book,No,Yes
58,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",35,Yes,No,Yes,Purchased the book,Yes,Yes
51,Female,White,Divorced,College graduate,Employed full-time,"$20,000 to under $30,000",35,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
51,Male,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",35,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
43,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",35,Yes,Yes,Yes,Purchased the book,Yes,Yes
42,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",35,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
39,Female,White,Married,Post-graduate training/professional school after college,Not employed for pay,"$40,000 to under $50,000",35,Yes,No,Yes,Got the book some other way,Yes,Yes
33,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",35,Yes,Yes,No,Purchased the book,Yes,Yes
24,Male,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$20,000 to under $30,000",35,Yes,No,No,Borrowed the book from a friend or family member,No,No
57,Female,White,Divorced,"Some college, no 4-year degree",Disabled,"$100,000 to under $150,000",32,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
39,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",32,Yes,No,No,Purchased the book,Yes,Yes
28,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$10,000 to under $20,000",32,Yes,No,No,Purchased the book,No,No
55,Male,Refused,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",30,No,Yes,No,Purchased the book,No,No
52,Male,Refused,Married,None,Employed part-time,"$50,000 to under $75,000",30,Yes,No,No,Borrowed the book from a library,Yes,No
49,Male,Refused,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Purchased the book,No,Yes
36,Female,Other,Never been married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",30,Yes,Yes,Yes,Purchased the book,No,No
25,Female,Other,Never been married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
20,Male,Other,Never been married,College graduate,Student,"$20,000 to under $30,000",30,Yes,No,Yes,Purchased the book,No,No
18,Female,Native American/American Indian,Never been married,High school graduate,Not employed for pay,"$50,000 to under $75,000",30,Yes,No,No,Purchased the book,Yes,No
72,Male,Mixed race,Divorced,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",30,Yes,No,No,Purchased the book,Yes,No
54,Male,Mixed race,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",30,Yes,Yes,Yes,Purchased the book,No,Yes
16,Female,Mixed race,Never been married,High school incomplete,Not employed for pay,"$40,000 to under $50,000",30,Don’t know,Yes,No,Borrowed the book from a library,Yes,Yes
50,Female,Asian or Pacific Islander,Married,"Some college, no 4-year degree",Not employed for pay,"$100,000 to under $150,000",30,Yes,No,No,Purchased the book,Yes,Yes
35,Male,Asian or Pacific Islander,Never been married,College graduate,Employed full-time,"Less than $10,000",30,Yes,Yes,Don’t know,Got the book some other way,Yes,Yes
63,Female,Black or African-American,Widowed,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",30,Yes,Yes,Yes,Purchased the book,Yes,Yes
57,Female,Black or African-American,Never been married,High school graduate,Employed full-time,"$10,000 to under $20,000",30,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
56,Female,Black or African-American,Divorced,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
52,Female,Black or African-American,Never been married,College graduate,Not employed for pay,"$40,000 to under $50,000",30,Yes,No,No,Borrowed the book from a library,No,Yes
42,Female,Black or African-American,Never been married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
29,Male,Black or African-American,Never been married,College graduate,Employed full-time,"$40,000 to under $50,000",30,Yes,No,Yes,Purchased the book,No,No
29,Male,Black or African-American,Never been married,College graduate,Employed part-time,"$20,000 to under $30,000",30,Yes,Yes,No,Purchased the book,Yes,Yes
25,Male,Black or African-American,Never been married,High school graduate,Not employed for pay,"Less than $10,000",30,Yes,Don’t know,Yes,Borrowed the book from a friend or family member,Yes,Yes
23,Male,Black or African-American,Living with a partner,"Some college, no 4-year degree",Not employed for pay,"$20,000 to under $30,000",30,Yes,No,No,Got the book some other way,Yes,No
22,Male,Black or African-American,Never been married,High school graduate,Employed part-time,"$50,000 to under $75,000",30,Yes,No,Yes,Got the book some other way,No,No
20,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Not employed for pay,"$20,000 to under $30,000",30,Yes,Yes,No,Borrowed the book from a library,Yes,No
20,Male,Black or African-American,Never been married,High school graduate,Employed part-time,"$20,000 to under $30,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
16,Female,Black or African-American,Never been married,High school incomplete,Student,"9$100,000 to under $150,000",30,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
16,Male,Black or African-American,Don’t know,High school incomplete,Not employed for pay,Refused,30,No,No,No,Got the book some other way,Yes,No
16,Male,Black or African-American,Never been married,High school incomplete,Employed part-time,"$75,000 to under $100,000",30,Yes,No,No,Borrowed the book from a library,Yes,No
82,Male,White,Married,College graduate,Retired,"$75,000 to under $100,000",30,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
77,Female,White,Married,High school graduate,Retired,"$10,000 to under $20,000",30,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
74,Female,White,Married,"Some college, no 4-year degree",Retired,Refused,30,Yes,No,No,Purchased the book,Yes,Yes
72,Female,White,Widowed,"Technical, trade or vocational school AFTER high school",Retired,"$20,000 to under $30,000",30,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
71,Male,White,Married,College graduate,Retired,"$50,000 to under $75,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
71,Female,White,Married,"Some college, no 4-year degree",Disabled,"$10,000 to under $20,000",30,Yes,No,No,Purchased the book,Yes,No
71,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",30,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
70,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",30,Yes,No,No,Borrowed the book from a library,Yes,Yes
67,Female,White,Married,High school incomplete,Retired,"$30,000 to under $40,000",30,Yes,No,No,Purchased the book,No,Yes
67,Female,White,Married,College graduate,Retired,"$75,000 to under $100,000",30,Yes,No,No,Purchased the book,Yes,Yes
66,Female,White,Married,"Some college, no 4-year degree",Retired,"$75,000 to under $100,000",30,Yes,Yes,Yes,Purchased the book,No,Yes
65,Male,White,Married,Post-graduate training/professional school after college,Retired,Refused,30,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
65,Female,White,Married,High school graduate,Retired,"$40,000 to under $50,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
63,Male,White,Divorced,Post-graduate training/professional school after college,Retired,"$75,000 to under $100,000",30,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
62,Female,White,Divorced,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",30,Yes,No,No,Purchased the book,No,Yes
62,Male,White,Married,College graduate,Employed full-time,"$20,000 to under $30,000",30,Yes,No,No,Purchased the book,No,Yes
61,Female,White,Married,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
60,Male,White,Married,High school graduate,Retired,"$50,000 to under $75,000",30,Yes,No,Yes,Purchased the book,Yes,No
60,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",30,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
59,Male,White,Married,College graduate,Retired,"$100,000 to under $150,000",30,Yes,No,No,Purchased the book,Yes,Yes
58,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Purchased the book,Yes,No
57,Male,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",30,Yes,No,No,Purchased the book,No,Yes
57,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",30,Yes,Yes,Yes,Purchased the book,Yes,Yes
57,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,No,No,Purchased the book,Yes,Yes
56,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
55,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,Yes,Yes,Purchased the book,Yes,Yes
55,Male,White,Divorced,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",30,Yes,Yes,Yes,Purchased the book,No,No
54,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
54,Female,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",30,Yes,No,No,Purchased the book,Yes,Yes
54,Female,White,Separated,None,Disabled,"Less than $10,000",30,No,No,No,Purchased the book,Yes,No
54,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,No,No,Purchased the book,No,Yes
53,Female,White,Divorced,"Technical, trade or vocational school AFTER high school",Disabled,"Less than $10,000",30,Yes,No,No,Borrowed the book from a friend or family member,No,No
52,Female,White,Divorced,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Got the book some other way,No,No
51,Female,White,Married,High school graduate,Employed full-time,"$75,000 to under $100,000",30,Yes,No,Yes,Purchased the book,No,No
51,Female,White,Separated,College graduate,Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Got the book some other way,No,Yes
51,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",30,Yes,No,Yes,Purchased the book,No,No
51,Male,White,Married,College graduate,Employed part-time,"$100,000 to under $150,000",30,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
50,Female,White,Never been married,College graduate,Employed full-time,"$40,000 to under $50,000",30,Yes,No,No,Borrowed the book from a library,Yes,No
50,Male,White,Never been married,Post-graduate training/professional school after college,Not employed for pay,"9$100,000 to under $150,000",30,Yes,Yes,Yes,Purchased the book,No,No
50,Male,White,Married,College graduate,Employed full-time,"$20,000 to under $30,000",30,Yes,No,No,Purchased the book,No,Yes
50,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",30,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
49,Male,White,Never been married,"Technical, trade or vocational school AFTER high school",Employed part-time,"$10,000 to under $20,000",30,Yes,No,Yes,Purchased the book,No,Yes
49,Male,White,Widowed,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",30,Yes,No,No,Purchased the book,Yes,Yes
46,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Purchased the book,Yes,No
44,Female,White,Married,High school graduate,Have own business/self-employed,"$75,000 to under $100,000",30,Yes,Yes,Yes,Purchased the book,Yes,No
44,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",30,Yes,No,No,Purchased the book,Yes,Yes
42,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",30,Yes,No,No,Purchased the book,Yes,No
42,Female,White,Divorced,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",30,Yes,No,No,Got the book some other way,Yes,No
41,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",30,Yes,No,No,Borrowed the book from a friend or family member,No,No
40,Male,White,Divorced,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",30,Yes,No,Yes,Got the book some other way,Yes,No
40,Female,White,Married,College graduate,Employed full-time,Refused,30,Yes,No,Yes,Purchased the book,Yes,No
39,Female,White,Divorced,College graduate,Not employed for pay,"$100,000 to under $150,000",30,Yes,No,No,Borrowed the book from a library,Yes,No
39,Female,White,Never been married,College graduate,Not employed for pay,"$30,000 to under $40,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
38,Female,White,Married,High school graduate,Employed full-time,Refused,30,Yes,No,No,Purchased the book,No,No
37,Female,White,Married,College graduate,Employed full-time,Refused,30,Yes,No,Yes,Purchased the book,No,Yes
36,Female,White,Married,College graduate,Employed part-time,"$50,000 to under $75,000",30,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
34,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
33,Male,White,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",30,Yes,No,No,Purchased the book,No,No
33,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$30,000 to under $40,000",30,Yes,No,No,Got the book some other way,No,Yes
32,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,Yes,Yes,Purchased the book,Yes,Yes
31,Female,White,Married,High school graduate,Employed part-time,"9$100,000 to under $150,000",30,Yes,No,Yes,Borrowed the book from a library,No,No
29,Female,White,Married,College graduate,Not employed for pay,"$20,000 to under $30,000",30,Yes,No,Yes,Purchased the book,No,No
29,Male,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
29,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
28,Male,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"$10,000 to under $20,000",30,Yes,No,No,Purchased the book,Yes,No
27,Male,White,Married,College graduate,Employed full-time,"$20,000 to under $30,000",30,Yes,No,No,Purchased the book,No,Yes
23,Female,White,Never been married,High school graduate,Employed full-time,"$75,000 to under $100,000",30,Yes,Yes,Yes,Purchased the book,Yes,No
23,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"$75,000 to under $100,000",30,Yes,No,Yes,Purchased the book,Yes,No
22,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",30,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
22,Male,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"$75,000 to under $100,000",30,Yes,No,Yes,Purchased the book,No,No
22,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",30,Yes,No,Yes,Purchased the book,No,No
22,Female,White,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",30,No,No,No,Borrowed the book from a friend or family member,Yes,Yes
21,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",30,Yes,No,No,Purchased the book,No,Yes
20,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$40,000 to under $50,000",30,Yes,No,No,Borrowed the book from a library,No,No
20,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$20,000 to under $30,000",30,Yes,No,No,Borrowed the book from a friend or family member,No,No
19,Male,White,Single,High school graduate,Employed full-time,"$40,000 to under $50,000",30,Yes,No,Yes,Borrowed the book from a library,No,Yes
19,Male,White,Never been married,High school graduate,Not employed for pay,"$50,000 to under $75,000",30,Yes,No,Yes,Purchased the book,Yes,Yes
18,Male,White,Never been married,High school graduate,Not employed for pay,"9$100,000 to under $150,000",30,Yes,No,No,Borrowed the book from a library,No,Yes
18,Female,White,Never been married,High school graduate,Employed part-time,"9$100,000 to under $150,000",30,Yes,No,No,Purchased the book,Yes,No
17,Female,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",30,Yes,No,No,Purchased the book,No,No
16,Female,White,Never been married,High school incomplete,Not employed for pay,"$40,000 to under $50,000",30,Yes,No,No,Purchased the book,Yes,Yes
16,Female,White,Never been married,None,Not employed for pay,Refused,30,Yes,Yes,No,Borrowed the book from a library,No,Yes
74,Male,White,Married,Post-graduate training/professional school after college,Employed part-time,"$50,000 to under $75,000",26,Yes,Yes,Yes,Purchased the book,Yes,Yes
67,Female,White,Married,"Some college, no 4-year degree",Have own business/self-employed,"$100,000 to under $150,000",26,Yes,No,No,Purchased the book,No,Yes
49,Male,Refused,Living with a partner,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",25,Yes,Yes,No,Purchased the book,Yes,Yes
29,Male,Other,Living with a partner,High school graduate,Not employed for pay,"$20,000 to under $30,000",25,Yes,No,Yes,Borrowed the book from a library,No,No
26,Female,Other,Never been married,College graduate,Not employed for pay,"$20,000 to under $30,000",25,Yes,No,No,Purchased the book,No,No
51,Male,Native American/American Indian,Divorced,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",25,Yes,No,No,Got the book some other way,Yes,Yes
42,Male,Native American/American Indian,Married,High school incomplete,Disabled,"Less than $10,000",25,Yes,Yes,Yes,Borrowed the book from a library,No,Yes
31,Female,Native American/American Indian,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",25,Yes,No,Yes,Purchased the book,Yes,Yes
51,Female,Mixed race,Married,"Some college, no 4-year degree",Not employed for pay,Refused,25,Yes,No,No,Got the book some other way,Yes,No
55,Male,Black or African-American,Divorced,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",25,Yes,No,No,Got the book some other way,No,No
49,Female,Black or African-American,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",25,Yes,No,No,Borrowed the book from a library,No,Yes
17,Female,Black or African-American,Never been married,High school graduate,Employed part-time,"$20,000 to under $30,000",25,Yes,No,No,Borrowed the book from a library,No,Yes
85,Female,White,Divorced,College graduate,Retired,Refused,25,Yes,No,No,Purchased the book,Yes,Yes
83,Male,White,Married,College graduate,Retired,Refused,25,Yes,No,No,Purchased the book,Yes,Yes
83,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",25,Yes,No,No,Purchased the book,Yes,No
83,Female,White,Widowed,"Technical, trade or vocational school AFTER high school",Retired,Refused,25,Yes,No,No,Got the book some other way,Yes,Yes
82,Male,White,Married,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",25,Yes,No,No,Purchased the book,Yes,Yes
82,Male,White,Married,Post-graduate training/professional school after college,Retired,Refused,25,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
79,Female,White,Widowed,High school graduate,Retired,"$30,000 to under $40,000",25,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
78,Male,White,Married,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",25,Yes,Yes,No,Purchased the book,Yes,No
76,Female,White,Living with a partner,College graduate,Retired,"$20,000 to under $30,000",25,Yes,Yes,No,Purchased the book,Yes,Yes
75,Female,White,Widowed,College graduate,Retired,"$30,000 to under $40,000",25,Yes,Yes,No,Purchased the book,Yes,Yes
75,Female,White,Married,College graduate,Retired,Refused,25,Yes,Yes,Yes,Purchased the book,Yes,Yes
74,Male,White,Married,Post-graduate training/professional school after college,Not employed for pay,"$100,000 to under $150,000",25,Yes,No,Yes,Purchased the book,Yes,Yes
74,Female,White,Widowed,"Technical, trade or vocational school AFTER high school",Retired,"$50,000 to under $75,000",25,Yes,Yes,Yes,Purchased the book,Yes,No
72,Male,White,Married,High school graduate,Retired,"$50,000 to under $75,000",25,Yes,No,No,Purchased the book,Yes,No
72,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$40,000 to under $50,000",25,Yes,No,No,Purchased the book,No,Yes
69,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",25,Yes,Yes,No,Borrowed the book from a friend or family member,No,No
68,Female,White,Married,High school incomplete,Not employed for pay,Refused,25,Yes,No,No,Purchased the book,Yes,Yes
67,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",25,No,Yes,Yes,Purchased the book,Yes,Yes
66,Female,White,Married,"Some college, no 4-year degree",Retired,Refused,25,Yes,No,No,Got the book some other way,Yes,No
66,Male,White,Married,College graduate,Employed part-time,"$75,000 to under $100,000",25,Yes,No,No,Purchased the book,Yes,No
65,Female,White,Divorced,High school graduate,Employed part-time,"$10,000 to under $20,000",25,Yes,No,No,Purchased the book,Yes,Yes
63,Female,White,Living with a partner,High school graduate,Retired,"$75,000 to under $100,000",25,Yes,No,Yes,Borrowed the book from a library,Yes,No
63,Male,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",25,Yes,No,No,Purchased the book,Yes,Yes
63,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$50,000 to under $75,000",25,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
62,Female,White,Don’t know,High school graduate,Retired,Refused,25,Yes,No,No,Purchased the book,Yes,No
60,Male,White,Married,College graduate,Retired,"$75,000 to under $100,000",25,Yes,No,Yes,Purchased the book,Yes,No
58,Female,White,Married,Post-graduate training/professional school after college,Retired,Refused,25,Yes,No,No,Got the book some other way,Yes,No
58,Female,White,Divorced,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",25,Yes,No,Yes,Got the book some other way,Yes,Yes
57,Female,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,25,Yes,No,Yes,Purchased the book,Yes,Yes
56,Male,White,Married,"Some college, no 4-year degree",Retired,"$75,000 to under $100,000",25,Yes,Yes,Yes,Purchased the book,Yes,Yes
55,Female,White,Married,College graduate,Retired,"$75,000 to under $100,000",25,Yes,No,Yes,Purchased the book,Yes,Yes
52,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",25,Yes,No,Yes,Purchased the book,No,Yes
52,Female,White,Living with a partner,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",25,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
49,Male,White,Married,High school graduate,Employed full-time,Refused,25,Yes,No,No,Purchased the book,Yes,No
49,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",25,Yes,No,Yes,Purchased the book,Yes,Yes
49,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",25,Yes,No,No,Purchased the book,No,Yes
48,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",25,Yes,Yes,Yes,Purchased the book,No,Yes
47,Female,White,Separated,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",25,Yes,No,Yes,Purchased the book,Yes,No
47,Male,White,Married,College graduate,Not employed for pay,"$30,000 to under $40,000",25,Yes,No,No,Got the book some other way,Yes,Yes
47,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",25,Yes,No,Yes,Purchased the book,Yes,No
